kpi_name,indicator_id,commodity,net_achievement,net_annual_target,stakeholder_disaggregation,results_new,results_continued,targets_new,targets_continued,year,project_name,country
# targeted producers with new or improved access to markets,G058,Combined,0,23000,Unspecified,0,0,23000,,2023,Acting Now - Kenya,Kenya
# targeted producers with new or improved access to markets,G058,Combined,0,46000,Unspecified,0,0,23000,23000,2024,Acting Now - Kenya,Kenya
# targeted producers with new or improved access to markets,G058,Combined,76447,70000,Unspecified,28197,48250,24000,46000,2025,Acting Now - Kenya,Kenya
# targeted producers with new or improved access to markets,G058,Combined,0,3000,Unspecified,0,0,,3000,2026,Acting Now - Kenya,Kenya
# Farmers that implement Good Practices,GP018,Combined,0,23000,Unspecified,0,0,23000,,2023,Acting Now - Kenya,Kenya
# Farmers that implement Good Practices,GP018,Combined,48749,46000,Unspecified,48749,0,23000,23000,2024,Acting Now - Kenya,Kenya
# Farmers that implement Good Practices,GP018,Combined,76946,70000,Unspecified,28197,48749,24000,46000,2025,Acting Now - Kenya,Kenya
# Farmers that implement Good Practices,GP018,Combined,0,3000,Unspecified,0,0,,3000,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,13992,16800,Male,13992,0,16800,,2023,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,24235,16800,Male,10243,13992,,16800,2024,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,33054,16800,Male,8819,24235,,16800,2025,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,3378,16800,Male Youth,3378,0,16800,,2023,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,3888,16800,Male Youth,510,3378,,16800,2024,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,6230,16800,Male Youth,2342,3888,,16800,2025,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,25572,25200,Female,25572,0,25200,,2023,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,35210,25200,Female,9638,25572,,25200,2024,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,47561,25200,Female,12351,35210,,25200,2025,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,5308,11200,Female Youth,5308,0,11200,,2023,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,6308,11200,Female Youth,1000,5308,,11200,2024,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,10993,11200,Female Youth,4685,6308,,11200,2025,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,0,720,Female Youth,0,0,,720,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,0,480,Male,0,0,,480,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,0,1080,Male Youth,0,0,,1080,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,0,720,Female,0,0,,720,2026,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,4,15,Undefined,4,0,15,,2023,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,4,15,Undefined,0,4,,15,2024,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,4,15,Undefined,0,4,,15,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,2,0,Adult Male Led,2,0,,,2023,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,2,6,Adult Male Led,0,2,6,,2024,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,6,6,Adult Male Led,4,2,0,6,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,4,4,Adult Female Led,4,0,0,4,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Youth Male Led,1,0,,,2023,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Youth Male Led,0,1,,,2024,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,3,3,Youth Male Led,2,1,0,3,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Youth Female Led,1,0,,,2023,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Youth Female Led,0,1,,,2024,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,2,2,Youth Female Led,1,1,0,2,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,0,6,Adult Male Led,0,0,,6,2026,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,0,4,Adult Female Led,0,0,,4,2026,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,0,3,Youth Male Led,0,0,,3,2026,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,0,2,Youth Female Led,0,0,,2,2026,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,13992,5880,Male,13992,0,5880,,2024,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,22811,11760,Male,8819,13992,5880,5880,2025,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,3378,5880,Male Youth,3378,0,5880,,2024,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,5702,7840,Male Youth,2324,3378,3920,3920,2025,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,25572,8820,Female,25572,0,8820,,2024,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,37923,17640,Female,12351,25572,8820,8820,2025,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,5308,3920,Female Youth,5308,0,3920,,2024,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,9993,11760,Female Youth,4685,5308,5880,5880,2025,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,0,720,Male,0,0,,720,2026,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,0,480,Male Youth,0,0,,480,2026,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,0,1080,Female,0,0,,1080,2026,Acting Now - Kenya,Kenya
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,0,720,Female Youth,0,0,,720,2026,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,0,5880,Male,0,0,5880,,2023,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,9794,11760,Male,9794,0,5880,5880,2024,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,18613,11760,Male,8819,9794,,11760,2025,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,0,5880,Male Youth,0,0,5880,,2023,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,2365,11760,Male Youth,2365,0,5880,5880,2024,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,4707,11760,Male Youth,2342,2365,,11760,2025,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,0,8820,Female,0,0,8820,,2023,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,17900,17640,Female,17900,0,8820,8820,2024,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,30251,17640,Female,12351,17900,,17640,2025,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,0,3920,Female Youth,0,0,3920,,2023,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,3716,7840,Female Youth,3716,0,3920,3920,2024,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,8401,7840,Female Youth,4685,3716,,7840,2025,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,0,720,Male,0,0,,720,2026,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,0,480,Male Youth,0,0,,480,2026,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,0,1080,Female,0,0,,1080,2026,Acting Now - Kenya,Kenya
# of farmers with farm income increase,S1.4,Combined,0,720,Female Youth,0,0,,720,2026,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,5880,Male,0,0,5880,,2023,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,13992,11760,Male,13992,0,5880,5880,2024,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,22811,11760,Male,8819,13992,,11760,2025,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,5880,Male Youth,0,0,5880,,2023,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,3378,11760,Male Youth,3378,0,5880,5880,2024,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,5720,11760,Male Youth,2342,3378,,11760,2025,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,8820,Female,0,0,8820,,2023,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,25572,17640,Female,25572,0,8820,8820,2024,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,37923,17640,Female,12351,25572,,17640,2025,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,3920,Female Youth,0,0,3920,,2023,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,5308,7840,Female Youth,5308,0,3920,3920,2024,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,9993,7840,Female Youth,4685,5308,,7840,2025,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,720,Male,0,0,,720,2026,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,480,Male Youth,0,0,,480,2026,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,1080,Female,0,0,,1080,2026,Acting Now - Kenya,Kenya
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,720,Female Youth,0,0,,720,2026,Acting Now - Kenya,Kenya
# of farmers with improved farm viability,S6.2,Combined,0,49000,Unspecified,0,0,49000,,2026,Acting Now - Kenya,Kenya
# of farmers with enhanced resilience,S6.1,Combined,0,49000,Unspecified,0,0,49000,,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,1162,1440,Male,1162,0,1440,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,4900,1440,Male,4900,0,1440,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,1268,4320,Male,0,1268,2880,1440,2025,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,229,960,Male Youth,229,0,960,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,2093,960,Male Youth,2093,0,960,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,422,2880,Male Youth,0,422,1920,960,2025,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,1190,3360,Female,1190,0,3360,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,3063,3360,Female,3063,0,3360,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,2084,7680,Female,0,2084,4320,3360,2025,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,194,2240,Female Youth,194,0,2240,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,3063,2240,Female Youth,3063,0,2240,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,695,5120,Female Youth,0,695,2880,2240,2025,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,0,336,Male,0,0,336,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,0,144,Male Youth,0,0,144,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,0,504,Female,0,0,504,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers trained,GP026,Combined,0,216,Female Youth,0,0,216,,2026,Acting Now - Ethiopia,Ethiopia
# of local Service Providers supported to provide services and inputs,G041,Combined,3,0,Undefined,3,0,,,2023,Acting Now - Ethiopia,Ethiopia
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Undefined,1,0,,,2024,Acting Now - Ethiopia,Ethiopia
# of local Service Providers supported to provide services and inputs,G041,Combined,20,13,Adult Male Led,20,0,13,,2024,Acting Now - Ethiopia,Ethiopia
# of local Service Providers supported to provide services and inputs,G041,Combined,13,13,Adult Male Led,0,13,,13,2025,Acting Now - Ethiopia,Ethiopia
# of local Service Providers supported to provide services and inputs,G041,Combined,0,19,Undefined,0,0,19,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,4900,1260,Male,4900,0,1260,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,1268,2520,Male,0,1268,2520,,2025,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,2093,840,Male Youth,2093,0,840,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,422,1680,Male Youth,0,422,1680,,2025,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,3063,2940,Female,3063,0,2940,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,2084,5880,Female,0,2084,5880,,2025,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,3063,1960,Female Youth,3063,0,1960,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,695,3920,Female Youth,0,695,3920,,2025,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,0,144,Male Youth,0,0,144,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,0,504,Female,0,0,504,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,0,216,Female Youth,0,0,216,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers that access new or improved services from service providers supported by Solidaridad,S2.1,Combined,0,336,Male,0,0,336,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,2520,Male,0,0,2520,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,4900,2520,Male,4900,0,,2520,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,3057,2520,Male,0,3057,,2520,2025,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,1680,Male Youth,0,0,1680,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,2093,1680,Male Youth,2093,0,,1680,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,2038,1680,Male Youth,0,2038,,1680,2025,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,5880,Female,0,0,5880,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,3063,5880,Female,3063,0,,5880,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,475,5880,Female,0,475,,5880,2025,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,3920,Female Youth,0,0,3920,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,5807,3920,Female Youth,3063,2744,,3920,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,315,3920,Female Youth,0,315,,3920,2025,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,235,Male,0,0,235,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,100,Male Youth,0,0,100,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,352,Female,0,0,352,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with improved yield (kg/ha)),S1.3,Combined,0,151,Female Youth,0,0,151,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,0,2520,Male,0,0,2520,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,1764,2520,Male,0,1764,,2520,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,3057,2520,Male,0,3057,,2520,2025,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,0,1680,Male Youth,0,0,1680,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,1176,1680,Male Youth,0,1176,,1680,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,2038,1680,Male Youth,0,2038,,1680,2025,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,0,5880,Female,0,0,5880,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,4116,5880,Female,0,4116,,5880,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,475,5880,Female,0,475,,5880,2025,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,0,3920,Female Youth,0,0,3920,,2023,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,2744,3920,Female Youth,0,2744,,3920,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,315,3920,Female Youth,0,315,,3920,2025,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,0,235,Male,0,0,235,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,0,100,Male Youth,0,0,100,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,0,352,Female,0,0,352,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with farm income increase,S1.4,Combined,0,151,Female Youth,0,0,151,,2026,Acting Now - Ethiopia,Ethiopia
Volume sourced sustainably by brands supported through Solidaridad's projects,S4.1,Combined,2000,5000,Unspecified,2000,0,5000,,2024,Acting Now - Ethiopia,Ethiopia
# of farmers with improved farm viability,S6.2,Combined,0,20000,Unspecified,0,0,20000,,2026,Acting Now - Ethiopia,Ethiopia
# of farmers with enhanced resilience,S6.1,Combined,0,20000,Unspecified,0,0,20000,,2026,Acting Now - Ethiopia,Ethiopia
# of local Service Providers supported to provide services and inputs,G041,Coffee,100,50,Cooperative / Producer association,100,0,50,,2024,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,581,100,Cooperative / Producer association,200,381,50,50,2025,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,84,Cooperative / Producer association,0,0,,84,2026,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,84,Cooperative / Producer association,0,0,,84,2027,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,84,Cooperative / Producer association,0,0,,84,2028,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,267,700,Medium and small scale entrepreneur,267,0,700,,2024,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,253,350,Medium and small scale entrepreneur,253,0,200,150,2025,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,523,Medium and small scale entrepreneur,0,0,273,250,2026,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,623,Medium and small scale entrepreneur,0,0,,623,2027,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1323,Medium and small scale entrepreneur,0,0,700,623,2028,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,15,Public extension service provider,0,0,15,,2024,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,10,40,Public extension service provider,10,0,30,10,2025,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,15,Public extension service provider,0,0,,15,2026,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,15,Public extension service provider,0,0,,15,2027,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,15,Public extension service provider,0,0,,15,2028,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1,Financial Institute,0,0,1,,2024,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,9,10,Financial Institute,9,0,5,5,2025,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1,Financial Institute,0,0,,1,2026,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1,Financial Institute,0,0,,1,2027,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1,Financial Institute,0,0,,1,2028,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1,Corporate,0,0,1,,2024,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1,Corporate,0,0,,1,2026,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1,Corporate,0,0,,1,2027,Pathways to Prosperity - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Coffee,0,1,Corporate,0,0,,1,2028,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Coffee,104,11,Agri processor,104,0,10,1,2024,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Coffee,171,20,Agri processor,52,119,10,10,2025,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Coffee,0,30,Agri processor,0,0,10,20,2026,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Coffee,0,40,Agri processor,0,0,10,30,2027,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Coffee,0,50,Agri processor,0,0,10,40,2028,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Coffee,0,50,Agri processor,0,0,,50,2029,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,21431,65998,Male,21431,0,65998,,2024,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,51156,131996,Male,29725,21431,65998,65998,2025,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,45775,Male,0,0,24344,21431,2026,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,263992,Male,0,0,65998,197994,2027,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,329990,Male,0,0,65998,263992,2028,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,13396,12600,Male Youth,13396,0,12600,,2024,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,19088,25200,Male Youth,5692,13396,12600,12600,2025,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,17379,Male Youth,0,0,3983,13396,2026,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,50400,Male Youth,0,0,12600,37800,2027,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,50400,Male Youth,0,0,,50400,2028,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,16231,35999,Female,16231,0,35999,,2024,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,32986,71998,Female,16755,16231,35999,35999,2025,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,29510,Female,0,0,13279,16231,2026,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,143996,Female,0,0,35999,107997,2027,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,179995,Female,0,0,35999,143996,2028,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,6180,5399,Female Youth,6180,0,5399,,2024,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,8345,10798,Female Youth,2165,6180,5399,5399,2025,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,8836,Female Youth,0,0,2656,6180,2026,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,21596,Female Youth,0,0,5399,16197,2027,Pathways to Prosperity - Kenya,Kenya
# of farmers trained,GP026,Coffee,0,26995,Female Youth,0,0,5399,21596,2028,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Gold,27,21,Mine,27,0,21,,2024,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Gold,100,42,Mine,73,27,21,21,2025,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Gold,0,60,Mine,0,0,18,42,2026,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Gold,0,60,Mine,0,0,,60,2027,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Gold,0,60,Mine,0,0,,60,2028,Pathways to Prosperity - Kenya,Kenya
# of workplaces under improved working conditions,G052,Gold,0,60,Mine,0,0,,60,2029,Pathways to Prosperity - Kenya,Kenya
# of farmers with farm income increase,S1.4,Coffee,1496,30871,Male,1496,0,30871,,2024,Pathways to Prosperity - Kenya,Kenya
# of farmers with farm income increase,S1.4,Coffee,56001,61742,Male,54505,1496,30871,30871,2025,Pathways to Prosperity - Kenya,Kenya
# of farmers with farm income increase,S1.4,Coffee,0,32367,Male,0,0,30871,1496,2026,Pathways to Prosperity - Kenya,Kenya
# of farmers with farm income increase,S1.4,Coffee,0,123484,Male,0,0,30871,92613,2027,Pathways to Prosperity - Kenya,Kenya
# of farmers with farm income increase,S1.4,Coffee,0,154355,Male,0,0,30871,123484,2028,Pathways to Prosperity - Kenya,Kenya
# of farmers with farm income increase,S1.4,Coffee,0,185226,Male,0,0,30871,154355,2029,Pathways to Prosperity - Kenya,Kenya
