,OR,OR_lo,OR_hi,p
Intercept,7.021,5.306,9.291,0.0
C(district)[T.rwampara],0.641,0.519,0.792,0.0
C(district)[T.sheema],1.384,1.064,1.8,0.015
C(district)[T.wakiso],0.145,0.112,0.189,0.0
C(transport_c)[T.Motorcycle],1.344,1.144,1.579,0.0
C(growth)[T.2_Good],0.405,0.334,0.491,0.0
C(growth)[T.3_Same_or_worse],0.581,0.435,0.776,0.0
C(has_ficus_nat)[T.Yes],1.022,0.879,1.188,0.776
